class,lower,variants,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,merge_meanings,rep_examples,merge_examples,merge_book_maps
llm-proper,aaron,aaron | Aaron,Aaron,50057,31991,이름,아론 / 모세의 형 / 유대교 최초의 제사장,0,0,7
auto,aboriginal,aboriginal | Aboriginal,aboriginal,19381,39134,원주민 / 토착 / 원시 / 원래의,호주 원주민의,2,0,2
auto,aborigine,aborigine | Aborigine,aborigine,10288,36471,원주민 / 오스트레일리아 원주민 / 토착 동식물군,오스트레일리아 원주민,0,0,1
auto,abounding,Abounding | abounding,abounding,33189,29839,풍부한 / 많은,풍부한,0,0,1
auto,access,access | Access,access,1163,30289,접근 / 이용 / 접속 / 출입 / ~를 이용하다 / ~에 접근하다,① 접근 ② 이용 ③ 접속 ④ 출입,2,0,1
auto,accident,accident | Accident,accident,3825,48408,사고 / 교통사고 / 재난 / 사건 / 우연한 사고 / 우연한 일,사고,2,0,1
auto,accompany,accompany | Accompany,accompany,921,37350,동행하다 / 함께 ~하다 / 수반하다 / 따르다 / 수행하다 / 동반하다,동반하다,2,0,1
auto,according,according | According,according,1119,30371,따르는 / 의한 / 일치한 / 따라서,①  따르는 ② 의한,0,0,1
auto,accounting,accounting | Accounting,accounting,4084,27785,회계 / 차지하는 / 달하는 / 넘는 / 해당되는 / 회계학,회계,1,0,1
auto,acculturation,Acculturation | acculturation,acculturation,30531,30047,문화 변용 / 사회화 / 그 결과,① 문화 변용 ② 사회화 ③ 그 결과,0,0,1
auto,acknowledgment,acknowledgment | Acknowledgment,acknowledgment,29194,30435,승인 / 인정 / 인지,① 승인 ② 인정 ③ 인지,2,0,1
llm-sense,acron,acron | Acron,acron,46321,48224,선절 / 구전부,도토리,0,0,1
auto,activation,activation | Activation,activation,15626,28017,활성화 / 활동화 / 촉진,활성화,0,0,1
auto,administer,administer | Administer,administer,1475,36129,공급하다 / 투여하다 / 관리하다 / 실시하다 / 운영하다 / 통치하다 / (정식으로)배부하다,관리하다. 경영하다. 운영하다,3,0,1
auto,administration,administration | Administration,administration,1028,30338,정부 / 행정 / 정권 / 관리 / 경영 / 투여,① 정부 ② 정권 ③ 행정 ④ 관리 ⑤ 지배,2,0,1
auto,admiral,admiral | Admiral,admiral,24630,30359,해군 대장 / 제독,① 해군 대장 ② 제독,1,0,1
llm-sense,adolescent,adolescent | Adolescent,adolescent,1266,37610,청소년 / 청년,청춘기의 / 사춘기의,2,0,1
auto,adult,adult | Adult,adult,1283,30326,성인용의 / 성인 / 어른 / 성체 / 다 자란,① 성인 ② 어른 ③ 다 자란 ④ 성체 ⑤ 성인용의,2,0,1
llm-sense,advanced,advanced | Advanced,advanced,2358,29844,앞선 / 진보한 / 고등의 / 선진의 / 진행한,증진시키다,3,0,1
auto,advice,advice | Advice,advice,685,30427,조언 / 충고 / 도움 / 권고 / 지시,① 조언 ② 충고 ③ 도움 ④ 권고 ⑤ 지시,2,0,1
llm-proper,africa,africa | Africa,Africa,33990,16308,아프리카,아프리카,0,0,13
llm-proper,african,african | African,African,33989,2209,1. 아프리카의 / 아프리카인의  2. 흑인의; (교회 등이) 흑인에 의한  3. 아프리카인 / 아프리카 흑인 / 아프리카의 / 아프리카 사람(의),아프리카의 / 아프리카인,0,0,8
llm-sense,after,after | After,after,3820,45606,…후에 / …뒤에 / 그 후 / 다음의 / …하고 나서,후에 / 뒤에 / 나중ㅇ에,2,0,1
auto,afternoons,AFTERNOONS | afternoons,afternoons,30545,30030,오후에는 언제나 / 오후에는 흔히,① 오후에는 언제나 ② 오후에는 흔히,0,0,1
auto,against,against | Against,against,3818,37163,…에 대한 / 반대로 / 대항하여 / 반하는 / 기대어서 / ~에 반대하여,~에 반대하여,2,0,1
llm-sense,agglutination,agglutination | Agglutination,agglutination,37867,44564,교착 / 응집 / 접합,상처의]유착 / 응집,0,0,1
llm-sense,agitate,agitate | Agitate,agitate,6833,32996,선동하다 / 흥분시키다 / 휘젓다,휘젓다 / 선동하다 / 교반하다,2,0,1
auto,agriculture,agriculture | Agriculture,agriculture,3817,36164,농업 / 축산,농업. 농사. 농예,2,0,1
auto,aids,aids | AIDS,aids,8084,48307,에이즈 / 지원 / 후천성 면역 결핍증 / 에이드 / 가속하다,후천성면역결핍증후군,0,0,1
llm-proper,alan,Alan | alan,Alan,50066,50301,이름,남자 이름,0,0,1
auto,alaska,alaska | Alaska,alaska,8083,16901,알래스카,알래스카,0,0,1
llm-sense,alive,alive | Alive,alive,2212,48238,살아 있는 / 계속하여 / 생기에 넘치는 / 생생한 / 이 세상의 / 살아있는,활기찬 / 살아 있는,2,0,1
auto,alliance,alliance | Alliance,alliance,6145,29854,동맹 / 협력 / 연합 / 단체,동맹,2,0,1
auto,allow,allow | Allow,allow,150,48241,…할 수 있게 하다 / 허용하다 / 허락하다 / 승인하다,허락하다,2,0,1
llm-sense,ally,ally | Ally,ally,3812,37536,동맹 / 우방 / 동지 / 협력 / 연합 / 동맹국 / 협력자,앨리,2,0,1
llm-proper,alma,Alma | alma,Alma,30019,48888,① 무희 ② 여자 이름,무희 / 여자 이름,0,0,2
auto,alternative,alternative | Alternative | alternative,alternative,1986,"29849,52343",해결책 / 대안 / 대체 / 다른 / 대신의 / 얼터너티브 / 방안 / 교대로의 / 양자택일,대체대안 / 대안 / 대안의,2,0,2
llm-sense,although,although | Although,although,3810,45596,비록…이지만 / …임에도 불구하고 / …이지만 / ~에도 불구하고,비록 ~일지라도,2,0,1
auto,altogether,altogether | Altogether,altogether,2939,30038,전적으로 / 모두 함께 / 합하여,① 전적으로 ② 모두 함께 ③ 합하여,2,0,1
llm-proper,amanda,amanda | Amanda,Amanda,50217,47935,이름,아만다 / 어맨다,0,0,2
llm-sense,amazing,amazing | Amazing,amazing,2066,36165,엄청난 / 놀라운 / 대단한 / 멋진 / 흥미로운,놀랄만한.  굉장한,2,0,1
llm-sense,ambition,ambition | Ambition,ambition,1433,48243,야망 / 야심 / 꿈 / 욕심 / 포부,목표,2,0,1
auto,amendment,amendment | Amendment,amendment,11640,30135,수정 / 개정 / 개심,① 수정 ② 개정 ③ 개심,2,0,1
llm-proper,america,america | America,America,33985,5343,1. 아메리카 합중국  2. 북아메리카 / 북미  3. 남아메리카 / 남미 / 미국,미국 / 아메리카,0,0,30
llm-proper,american,american | American,American,33984,338,1. 미국의; 미국인의  2. 북(남) 아메리카의 / 미국의 / 미국인 / 미국 어 / 미국의│미국인의│미국인,미국의 / 미국적인 / 미국인 / 아메리카의 / 아메리칸,0,2,30
auto,amount,amount | Amount,amount,914,30327,양 / 되다 / 금액 / 달하다 / 액수 / 총액,① 되다 ② 금액 ③ 양 ④ 액수 ⑤ 달하다,2,0,1
auto,amputate,amputate | Amputate,amputate,15516,32993,절단하다 / 잘라내다,절단하다 / 잘라내다,0,0,1
llm-proper,amy,amy | Amy,Amy,50197,28454,이름,여자 이름,0,0,1
auto,anaconda,anaconda | Anaconda,anaconda,9671,30208,아나콘다 / 애너콘다 / 큰 뱀,① 아나콘다 ② 애너콘다 ③ 큰 뱀,0,0,1
auto,anasazi,anasazi | Anasazi,anasazi,20844,47687,아나사지 문화 / 아나사지족,아나사지,0,0,1
auto,android,Android | android,android,32712,30314,안드로이드 / 로봇 / 인조 인간,① 로봇 ② 인조 인간,0,0,1
llm-proper,andy,andy | Andy,Andy,50214,16970,이름,남자 이름,0,0,4
llm-proper,anna,anna | Anna,Anna,50090,27459,이름,여자 이름 / 안나 / 인도 / 파키스탄 / 미얀마의 옛 화폐,0,0,3
auto,annexation,annexation | Annexation,annexation,911,30091,합병 / 부가 / 첨가,① 합병 ② 부가 ③ 첨가,1,0,1
llm-proper,annie,annie | Annie,Annie,50138,36268,이름,여자 이름,0,0,1
auto,annual,annual | Annual,annual,928,30281,연간의 / 연례의 / 매년의 / 연마다의 / 1년의,① 연간의 ② 연례의 ③ 매년의 ④ 연마다의 ⑤ 해마다,2,0,1
auto,ant,ant | Ant,ant,9670,36227,개미,개미,1,0,1
llm-sense,antarctic,antarctic | Antarctic,antarctic,16476,34368,남극의 / 남극지방(대륙),남극의 / 남극지역 / 남극 지역 / 남극,1,0,7
llm-proper,antarctica,Antarctica | antarctica,Antarctica,35141,51872,남극 대륙 / 남극 / 남극대륙,남극대륙,0,1,1
auto,antigen,Antigen | antigen,antigen,51943,44562,항원,항원,0,0,1
auto,anyone,anyone | Anyone,anyone,5369,30083,모든 사람 / 누군가 / 아무도,① 누군가 ② 아무도 ③ 모든 사람,2,0,1
auto,aorta,aorta | Aorta,aorta,23313,44561,대동맥,대동맥,0,0,1
llm-proper,apache,Apache | apache,Apache,30024,43979,① 아파치족 ② 아파슈단의 단원 ③ 깡패,아파치족 / 아파슈단의 단원 / 깡패,0,0,3
auto,apartment,apartment | Apartment,apartment,1375,30351,아파트 / 주거,① 아파트,2,0,1
llm-sense,apollo,apollo | Apollo,apollo,25779,34011,아폴로 / 빛·음악·시·예언·남성미의 신 / 태양,1. [그리스 / 로마 신화] 아폴로 / 아폴론  2. 미모의 청년 / 미남 청년  3. 미국의 아폴로 계획용 우주선,0,0,1
auto,apology,apology | Apology,apology,4195,30417,사과 / 사죄 / 변명,① 사과 ② 사죄 ③ 변명,2,0,1
auto,appease,appease | Appease,appease,9093,33006,달래다 / 진정시키다 / …을 가라앉히다,달래다 / …을 가라앉히다 / 진정시키다,2,0,1
llm-sense,apple,apple | Apple | apple,apple,3799,"36222,51960",애플 / 사과 / 사과나무,사과 / 사과1 / 과일의 일종,2,2,2
auto,applicable,applicable | Applicable,applicable,2603,45288,적용할 수 있는 / 적절한 / 적용 가능한 / 적용되는 / 해당되는 / 해당,적용,2,0,1
auto,approval,approval | Approval,approval,8451,30337,승인 / 허가 / 동의 / 찬성,① 승인 ② 동의 ③ 허가 ④ 찬성,2,0,1
auto,arabia,arabia | Arabia,arabia,4125,34009,아라비아,아라비아: 쿠웨이트·사우디아라비아·오만·예멘·아랍 에미리트 등을 포함함.,0,0,1
auto,arabian,arabian | Arabian,arabian,4126,34008,아라비아의 / 아라비아인 / 아랍의,1.아라비아의  2.아라비아인  3.아랍의,1,0,1
llm-sense,arabic,arabic | Arabic,arabic,22036,36189,아랍어,아랍의,2,0,1
llm-sense,archly,archly | Archly,archly,39383,48572,능글맞게 / 짖궂게 / 익살맞게,짖궃게 교활하게,0,0,1
llm-sense,arctic,arctic | Arctic,arctic,16306,29932,북극의 / 극지방,① 북극의 ② 극지방 / 북극의 / 극한의 / 극지방 / 북극,2,0,7
auto,argentina,argentina | Argentina,argentina,9392,34006,아르헨티나,아르헨티나,0,0,1
auto,arrogance,arrogance | Arrogance,arrogance,9269,36247,오만 / 거만 / 자만 / 만용 / 불손 / 건방짐,오만함,3,0,1
auto,art,art | Art,art,3796,27745,예술 / 미술품 / 미술 / 아트 / 기술,미술,2,0,1
llm-sense,arteriole,arteriole | Arteriole,arteriole,44460,44560,소동맥,동맥의,0,0,1
auto,artery,artery | Artery,artery,5656,44559,동맥,동맥,1,0,1
llm-sense,as,as | As,as,1364,45597,…처럼 / …으로서 / …하면서,"""~만큼"" / ""~와 같을 정도로"" / ""~이므로"" / ""~때에"" / ""~로써""",2,0,1
llm-proper,asa,asa | Asa,Asa,50212,35902,이름,필름 감도 기준 / 남자 이름 / 미국 표준 협회,0,0,2
auto,ascertain,ascertain | Ascertain,ascertain,7289,50350,확인하다 / 규명하다 / 찾아내다 / 알아내다.확인하다,규명하다 찾아내다 확인하다,3,0,1
llm-proper,ashley,ashley | Ashley,Ashley,50148,48895,이름,남자 이름,0,0,1
llm-proper,asia,asia | Asia,Asia,34003,16309,아시아,아시아,0,0,22
llm-proper,asian,asian | Asian,Asian,34002,2059,1. 아시아의  2. 아시아인  3. 동양인 / 아시아의 / 아시아 사람,아시아의 / 아시안 / 아시아인 / 동양인,0,0,13
llm-sense,ass,ass | ASS,ass,9664,45425,엉덩이 / 걷어 차다 / 구하다 / 바보 / 골칫거리,자동고장부분 개폐기,2,0,1
auto,assign,assign | Assign,assign,1492,30298,부여하다 / 할당하다 / 지정하다 / 정하다 / 배정하다,① 할당하다 ② 지정하다 ③ 부여하다 ④ 정하다,2,0,1
auto,association,association | Association,association,3038,30352,협회 / 단체 / 연합 / 관련 / 조합,① 협회 ② 단체 ③ 연합 ④ 조합,2,0,1
llm-sense,assuage,assuage | Assuage,assuage,11029,33003,완화시키다 / 진정시키다 / 누그러뜨리다 / 달래다,누그러뜨리다 / 달래다 / 채우다,1,0,1
auto,athenian,athenian | Athenian,athenian,25755,34000,아테네의 / 아테네인의 / 아테네인,1. 아테네의  2. 아테네인의  3. 아테네 사람 / 아테네,0,0,2
auto,athens,athens | Athens,athens,12992,33999,아테네 / 애선스 / 그리스의 수도,1. 아테네  2. 그리스 수도(首都),0,0,1
llm-sense,atlantic,atlantic | Atlantic,atlantic,10219,33900,대서양 / 아틀란틱,대서양; 대서양의 / 1. 대서양(상)의  2. 대서양 연안의 / 대서양의 / 대서양 / 아틀라스 산맥의,2,0,7
llm-sense,attrite,Attrite | attrite,attrite,39745,28024,마멸된,마모된,0,0,1
llm-proper,audrey,audrey | Audrey,Audrey,49967,12950,이름,여자 이름,0,0,1
auto,august,august | August,august,4256,41021,8월,8월,2,0,4
llm-sense,australian,australian | Australian,australian,2455,33996,오스트레일리아의 / 오스트레일리아 사람,1. 호주의   2. 호주 사람 / 호주의 / 호주인 / 호주 사람 / 호주 언어 / 오스트레일리아 사람 / 호주 어,0,0,4
llm-sense,austrian,Austrian | austrian,austrian,34726,33994,오스트리아의 / 오스트리아 학파의 / 오스트리아 학파의 경제학자,오스트리아의 / 오스트리아인,0,0,1
llm-sense,autograph,autograph | Autograph,autograph,7819,48407,서명 / 사인 / 서명(하다) / 사인(하다),자서전,3,0,1
auto,awaken,awaken | Awaken,awaken,3098,35679,각성하다 / 깨다 / 깨닫다,깨다,0,0,1
auto,aware,aware | Aware,aware,1794,36158,알고 있는 / 인식하는 / 깨달은 / 의식하는,~을 알고있는,2,0,1
auto,babysitter,babysitter | BABYSITTER,babysitter,10138,30446,보모 / 베이비시터,① 베이비시터 ② 보모,0,0,1
auto,bachelor,bachelor | Bachelor,bachelor,2928,30440,학사 / 미혼 남자,① 미혼 남자 ② 학사 ③ 독신자,2,0,1
auto,backward,backward | Backward,backward,12166,36125,뒤의 / 뒤로 / 뒤떨어진 / 과거 / 거꾸로 / 소극적인 / 백워드 / 숙성이 더딘 / 발전이 더딘 / 낙후된,뒤쪽으로. 뒤로,3,0,1
auto,bacon,bacon | Bacon,bacon,13300,29962,베이컨,베이컨,2,0,1
auto,badly,badly | Badly,badly,5342,36138,나쁘게 / 심하게 / 잘못 / 매우 / 절실하게,나쁘게. 몹시. 심하게,2,0,1
llm-sense,baltic,baltic | Baltic,baltic,25836,33974,발트 해의 / 발트 어파 / 혹한의,발트 해(연안)의,0,0,1
llm-sense,banking,banking | Banking,banking,26896,27788,은행의 / 금융 / 뱅킹 / 바탕 / 은행업 / 금융업,은행거래,1,0,1
auto,bankruptcy,bankruptcy | Bankruptcy,bankruptcy,2757,30381,파산 / 부도,① 파산 ② 부도,2,0,1
auto,baptist,baptist | Baptist,baptist,16509,33973,침례교도 / 침례파의 / 세례 요한,1. 침례교도   2. 침례파의  3. 세례 요한,0,0,1
auto,barbecue,barbecue | Barbecue,barbecue,2021,30473,바비큐 / …을 통째로 굽다 / 야외 파티 / 불고기 굽기 / 구이,① 바비큐 ② …을 통째로 굽다 ③ 야외 파티,2,0,1
auto,baron,baron | Baron,baron,23287,30471,남작 / …왕 / 봉건 영주,① 남작 ② …왕 ③ 봉건 영주,2,0,1
auto,bear,bear | Bear,bear,217,36224,있다 / 견디다 / 곰 / 참다 / 아이를 낳다 / 지니다,곰,3,0,1
auto,beat,beat | Beat,beat,232,48240,이기다 / 때리다 / 물리치다 / 비트 / 뛰다 / ~에 종사하다; ~을 노리다 / (기자의) 취재 분야 및 담당 / 치다,치다 / 때리다,2,0,1
auto,beautiful,beautiful | Beautiful,beautiful,12,48239,아름다운 / 예쁜 / 훌륭한 / 멋있는 / 화창한 / 고운,아름다운,2,0,1
auto,beauty,beauty | Beauty,beauty,7783,48237,아름다움 / 미용의 / 미인 / 미 / 미녀 / 미용,아름다움 / 미,2,0,1
auto,because,because | Because,because,3779,45599,…때문에 / …하다고 해서 / 왜냐하면 / ~때문에,~때문에 / 왜냐하면,2,0,2
llm-sense,become,become | Become,become,137,48242,…이 되다 / 어울리다 / …해지다 / ~이 되다,목표,2,0,1
auto,beef,beef | Beef,beef,4575,48233,쇠고기 / 강화하다 / 불만 / 비프 / 소고기,쇠고기 / 강화하다 / 불만 / 비프,2,0,1
llm-sense,before,before | Before,before,3777,45605,전 / 이전에 / 적 / 앞에 / ~전에,~전에 / 앞쪽에 / 앞서서,2,0,1
auto,beginning,beginning | Beginning,beginning,5257,30022,시작 / 처음 / 초 / 기원 / 개시,① 시작 ② 초 ③ 처음 ④ 기원 ⑤ 개시,2,0,1
llm-sense,beguile,beguile | Beguile,beguile,20294,33017,달래다 / 속이다 / 현혹시키다 / 기만하다 / 심심풀이하다,속이다 / 기만하다 / 속여서 빼앗다,2,0,1
auto,beholder,beholder | Beholder,beholder,8755,48244,보는 사람 / 구경꾼,보는사람 / 구경꾼,0,0,1
auto,believing,believing | Believing,believing,12847,30120,믿는 / 신앙심 있는 / 믿음,① 믿는 ② 신앙심 있는 ③ 믿음,0,0,1
llm-sense,berlin,berlin | Berlin,berlin,25861,33967,베를린 / 독일의 수도,베를린[독일의 수도 / 통일 전에는 시가지가 동 / 서독으로 양분되어 있었다.),0,0,1
auto,besiege,besiege | Besiege,besiege,15463,28919,에워싸다 / 포위하다 / 공격하다 / 쇄도하다,포위하다,2,0,1
llm-sense,billing,billing | Billing,billing,12947,27784,순위 / 게시 / 광고에 소요된 경비,청구,0,0,1
auto,biting,biting | Biting,biting,19377,30254,무는 / 괴롭히는 / 신랄한,① 무는 ② 신랄한 ③ 괴롭히는,2,0,1
auto,blood,blood | Blood,blood,3766,30334,혈액 / 피 / 혈통 / 혈연 / 유혈,① 혈액 ② 피 ③ 혈통 ④ 혈연 ⑤ 유혈,2,0,1
auto,bloody,bloody | Bloody,bloody,1979,30078,유혈의 / 잔혹한 / 빌어먹을 / 엄청난 / 피의 / 피비린내 나는 / 피투성이의,① 유혈의 ② 피의 ③ 잔혹한 ④ 빌어먹을 ⑤ 엄청난,4,0,1
auto,bloom,bloom | Bloom,bloom,10085,29953,꽃이 피다 / 블룸 / 개화,① 꽃이 피다 ② 개화 ③ 블룸,2,0,1
auto,bloomed,bloomed | Bloomed,bloomed,28954,37425,코팅된,코팅된,0,0,1
auto,boasting,boasting | Boasting,boasting,10316,30245,자랑 / 자랑하는 / 과시,① 자랑 ② 자랑하는 ③ 과시,0,0,1
llm-proper,bobby,bobby | Bobby,Bobby,50233,30501,이름,남자 이름 / 경찰관 / 여자 이름,0,0,2
auto,bolster,bolster | Bolster,bolster,15861,30387,강화하다 / 지지하다 / 보강하다 / 긴 베개,① 지지하다 ② 보강하다 ③ 긴 베개,1,0,1
llm-sense,bonded,bonded | Bonded,bonded,18204,28030,공채에 의해 보증된 / 공채가 붙은 / 특수 접착제로 접착시킨,보세,2,0,1
auto,book,book | Book,book,884,36225,책 / 도서 / 저서 / 서적 / 예약하다,책,2,0,1
auto,boom,boom | Boom,boom,21926,30207,붐 / 인기 / 알리다 / 붐을 일으키다 / 급격한 증가,① 붐 ② 인기 ③ 알리다 ④ 붐을 일으키다 ⑤ 급격한 증가,2,0,1
auto,bored,bored | Bored,bored,9,48447,지루한 / 싫증난 / 지루해하는,지루한,2,0,1
llm-proper,boston,boston | Boston,Boston,49985,28628,미국 도시 이름,보스턴 / 보스턴 왈츠,0,0,4
llm-proper,boulevard,boulevard | Boulevard,Boulevard,48391,10274,(가로수가 늘어선 도시의) 도로,대로 / 넓은 가로수 길 / 큰 길,0,1,44
auto,bowl,bowl | Bowl,bowl,4759,30080,그릇 / 볼링 / 볼 / 사료 그릇,① 그릇 ② 볼링 ③ 볼,2,0,1
llm-proper,brad,Brad | brad,Brad,50075,50882,이름,영국 British Rate and Data의 줄임말,0,0,1
