lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,extra_candidates
aaron,aaron#31991 | Aaron#50057,Y,Aaron,50057,31991,이름,"[{""mid"": 89619, ""text"": ""아론""}, {""mid"": 89620, ""text"": ""모세의 형""}, {""mid"": 89621, ""text"": ""유대교 최초의 제사장""}]"
accommodate,accommodate#916 | accommodate#51988 | accommodate#52084 | accommodate#52361,,accommodate,916,"51988,52084,52361",수용하다 / 받아들이다 / 숙박하다,"[{""mid"": 133487, ""text"": ""(요구 등을) 부응하다""}, {""mid"": 133634, ""text"": ""부응하다""}]"
acknowledge,acknowledge#1631 | acknowledge#52400,,acknowledge,1631,52400,받아들이다 / 승인하다 / 인정하다 / 감사하다 / 확인하다 / 시인하다 / 알다 / …을 인정하다,"[{""mid"": 134110, ""text"": ""감사를 표하다""}]"
acquire,acquire#1737 | acquire#52342,,acquire,1737,52342,갖다 / 배우다 / 얻다 / 쟁취하다 / 구입하다 / 획득하다 / 인수하다,"[{""mid"": 133999, ""text"": ""습득하다""}]"
acquisition,acquisition#7542 | acquisition#52135 | acquisition#52215 | acquisition#52257 | acquisition#52305,,acquisition,7542,"52135,52215,52257,52305",향상 / 취득 / 인수 / 획득 / 습득,"[{""mid"": 133811, ""text"": ""구입""}]"
acron,acron#46321 | Acron#48224,,acron,46321,48224,구전부 / 선절,"[{""mid"": 124270, ""text"": ""도토리""}]"
adolescent,adolescent#1266 | Adolescent#37610,,adolescent,1266,37610,청년 / 청소년,"[{""mid"": 101572, ""text"": ""청춘기의""}, {""mid"": 101573, ""text"": ""사춘기의""}]"
advanced,advanced#2358 | Advanced#29844,,advanced,2358,29844,진보한 / 앞선 / 고등의 / 진행한 / 선진의,"[{""mid"": 85250, ""text"": ""증진시키다""}]"
advocate,advocate#1521 | advocate#52362,,advocate,1521,52362,주장하다 / 옹호하다 / 옹호자 / 변호사 / 대변자 / 지지자,"[{""mid"": 134034, ""text"": ""지지하다""}]"
after,after#3820 | After#45606,,after,3820,45606,…뒤에 / 그 후 / 다음의 / …하고 나서 / …후에,"[{""mid"": 118810, ""text"": ""나중ㅇ에""}]"
agency,agency#742 | agency#52265 | agency#52313,,agency,742,"52265,52313",기관 / 대행 / 대리점 / 에이전시 / 소속사,"[{""mid"": 133881, ""text"": ""주체성""}, {""mid"": 133882, ""text"": ""힘""}]"
agglutination,agglutination#37867 | Agglutination#44564,,agglutination,37867,44564,교착 / 응집 / 접합,"[{""mid"": 116695, ""text"": ""상처의]유착""}]"
agitate,agitate#6833 | Agitate#32996,,agitate,6833,32996,흥분시키다 / 휘젓다 / 선동하다,"[{""mid"": 91857, ""text"": ""교반하다""}]"
alive,alive#2212 | Alive#48238,,alive,2212,48238,생생한 / 살아있는 / 계속하여 / 이 세상의 / 생기에 넘치는 / 살아 있는,"[{""mid"": 124294, ""text"": ""활기찬""}]"
allograft,allograft#51728 | allograft#51775,,allograft,51728,51775,이식조직,"[{""mid"": 132007, ""text"": ""이식 뼈""}]"
ally,ally#3812 | Ally#37536,,ally,3812,37536,동맹국 / 협력 / 우방 / 동지 / 협력자 / 동맹 / 연합,"[{""mid"": 101424, ""text"": ""앨리""}]"
although,although#3810 | Although#45596,,although,3810,45596,비록…이지만 / …임에도 불구하고 / ~에도 불구하고 / …이지만,"[{""mid"": 118783, ""text"": ""비록 ~일지라도""}]"
