class,lower,variants,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,merge_meanings,rep_examples,merge_examples,merge_book_maps
llm-proper,aaron,aaron | Aaron,Aaron,50057,31991,이름,아론 / 모세의 형 / 유대교 최초의 제사장,0,0,7
llm-sense,acron,acron | Acron,acron,46321,48224,선절 / 구전부,도토리,0,0,1
llm-sense,adolescent,adolescent | Adolescent,adolescent,1266,37610,청소년 / 청년,청춘기의 / 사춘기의,2,0,1
llm-sense,advanced,advanced | Advanced,advanced,2358,29844,앞선 / 진보한 / 고등의 / 선진의 / 진행한,증진시키다,3,0,1
llm-proper,africa,africa | Africa,Africa,33990,16308,아프리카,아프리카,0,0,13
llm-proper,african,african | African,African,33989,2209,1. 아프리카의 / 아프리카인의  2. 흑인의; (교회 등이) 흑인에 의한  3. 아프리카인 / 아프리카 흑인 / 아프리카의 / 아프리카 사람(의),아프리카의 / 아프리카인,0,0,8
llm-sense,after,after | After,after,3820,45606,…후에 / …뒤에 / 그 후 / 다음의 / …하고 나서,후에 / 뒤에 / 나중ㅇ에,2,0,1
llm-sense,agglutination,agglutination | Agglutination,agglutination,37867,44564,교착 / 응집 / 접합,상처의]유착 / 응집,0,0,1
llm-sense,agitate,agitate | Agitate,agitate,6833,32996,선동하다 / 흥분시키다 / 휘젓다,휘젓다 / 선동하다 / 교반하다,2,0,1
llm-proper,alan,Alan | alan,Alan,50066,50301,이름,남자 이름,0,0,1
llm-sense,alive,alive | Alive,alive,2212,48238,살아 있는 / 계속하여 / 생기에 넘치는 / 생생한 / 이 세상의 / 살아있는,활기찬 / 살아 있는,2,0,1
llm-sense,ally,ally | Ally,ally,3812,37536,동맹 / 우방 / 동지 / 협력 / 연합 / 동맹국 / 협력자,앨리,2,0,1
llm-proper,alma,Alma | alma,Alma,30019,48888,① 무희 ② 여자 이름,무희 / 여자 이름,0,0,2
llm-sense,although,although | Although,although,3810,45596,비록…이지만 / …임에도 불구하고 / …이지만 / ~에도 불구하고,비록 ~일지라도,2,0,1
llm-proper,amanda,amanda | Amanda,Amanda,50217,47935,이름,아만다 / 어맨다,0,0,2
llm-sense,amazing,amazing | Amazing,amazing,2066,36165,엄청난 / 놀라운 / 대단한 / 멋진 / 흥미로운,놀랄만한.  굉장한,2,0,1
llm-sense,ambition,ambition | Ambition,ambition,1433,48243,야망 / 야심 / 꿈 / 욕심 / 포부,목표,2,0,1
llm-proper,america,america | America,America,33985,5343,1. 아메리카 합중국  2. 북아메리카 / 북미  3. 남아메리카 / 남미 / 미국,미국 / 아메리카,0,0,30
llm-proper,american,american | American,American,33984,338,1. 미국의; 미국인의  2. 북(남) 아메리카의 / 미국의 / 미국인 / 미국 어 / 미국의│미국인의│미국인,미국의 / 미국적인 / 미국인 / 아메리카의 / 아메리칸,0,2,30
llm-proper,amy,amy | Amy,Amy,50197,28454,이름,여자 이름,0,0,1
llm-proper,andy,andy | Andy,Andy,50214,16970,이름,남자 이름,0,0,4
llm-proper,anna,anna | Anna,Anna,50090,27459,이름,여자 이름 / 안나 / 인도 / 파키스탄 / 미얀마의 옛 화폐,0,0,3
llm-proper,annie,annie | Annie,Annie,50138,36268,이름,여자 이름,0,0,1
llm-sense,antarctic,antarctic | Antarctic,antarctic,16476,34368,남극의 / 남극지방(대륙),남극의 / 남극지역 / 남극 지역 / 남극,1,0,7
llm-proper,antarctica,Antarctica | antarctica,Antarctica,35141,51872,남극 대륙 / 남극 / 남극대륙,남극대륙,0,1,1
llm-proper,apache,Apache | apache,Apache,30024,43979,① 아파치족 ② 아파슈단의 단원 ③ 깡패,아파치족 / 아파슈단의 단원 / 깡패,0,0,3
llm-sense,apollo,apollo | Apollo,apollo,25779,34011,아폴로 / 빛·음악·시·예언·남성미의 신 / 태양,1. [그리스 / 로마 신화] 아폴로 / 아폴론  2. 미모의 청년 / 미남 청년  3. 미국의 아폴로 계획용 우주선,0,0,1
llm-sense,apple,apple | Apple | apple,apple,3799,"36222,51960",애플 / 사과 / 사과나무,사과 / 사과1 / 과일의 일종,2,2,2
llm-sense,arabic,arabic | Arabic,arabic,22036,36189,아랍어,아랍의,2,0,1
llm-sense,archly,archly | Archly,archly,39383,48572,능글맞게 / 짖궂게 / 익살맞게,짖궃게 교활하게,0,0,1
llm-sense,arctic,arctic | Arctic,arctic,16306,29932,북극의 / 극지방,① 북극의 ② 극지방 / 북극의 / 극한의 / 극지방 / 북극,2,0,7
llm-sense,arteriole,arteriole | Arteriole,arteriole,44460,44560,소동맥,동맥의,0,0,1
