32387	rain	Heavy <strong class="target-word">rain</strong> flooded the streets overnight.	폭우로 밤새 거리가 침수되었다.
34125	meeting	The two sides reached a <strong class="target-word">meeting</strong> of minds.	양측은 합의에 도달했다.
38384	brother	His elder <strong class="target-word">brother</strong> teaches at a university.	그의 형은 대학교에서 가르친다.
38385	brother	Her younger <strong class="target-word">brother</strong> just started middle school.	그녀의 남동생은 막 중학교에 입학했다.
38992	phrase	In a <strong class="target-word">phrase</strong>, the project was a great success.	한마디로 말하면 그 프로젝트는 큰 성공이었다.
39663	species	I felt a <strong class="target-word">species</strong> of shame after the argument.	논쟁 후 일종의 수치심 같은 것을 느꼈다.
44882	sake	She learned Japanese for her colleagues' <strong class="target-word">sake</strong>.	그녀는 동료들을 위해 일본어를 배웠다.
45766	faced	The grim-<strong class="target-word">faced</strong> officer entered the room.	험악한 얼굴을 한 장교가 방에 들어왔다.
45767	faced	The rough-<strong class="target-word">faced</strong> stone wall felt cold.	표면이 거친 돌담은 차갑게 느껴졌다.
52988	incarnation	He believes he was a warrior in a former <strong class="target-word">incarnation</strong>.	그는 전생에 전사였다고 믿는다.
58077	opening	There are several job <strong class="target-word">openings</strong> at the restaurant right now.	현재 그 식당에는 일자리가 몇 개 있다.
58081	meet	Applicants must <strong class="target-word">meet</strong> all the requirements for the job.	지원자들은 그 직책의 모든 필요조건을 만족시켜야 한다.
58082	qualified	People with master's degrees are <strong class="target-word">qualified</strong> for the research position.	석사 학위를 갖춘 사람들은 연구직에 자격이 있다.
58085	confidence	The recommendations showed <strong class="target-word">confidence</strong> in his abilities.	그 추천서들은 그의 능력에 대한 신임을 보여 주었다.
58087	professional	Jeff is known as a <strong class="target-word">professional</strong> photographer.	Jeff는 전문 사진가로 알려져 있다.
58096	position	The secretary <strong class="target-word">positioned</strong> the chairs around the table before the meeting began.	비서는 회의가 시작되기 전에 탁자 주변에 의자를 두었다.
58098	impressed	The CEO was <strong class="target-word">impressed</strong> by his assistant's organizing skills.	그 최고 경영자는 비서의 정리 능력을 인상 깊게 생각했다.
58100	eligible	The part-time workers are also <strong class="target-word">eligible</strong> for paid holidays.	시간제 근로자들도 유급 휴가를 받을 자격이 있다.
58103	associate	Two of the applicants were <strong class="target-word">associated</strong> with a competitor.	지원자 중 두 명은 경쟁사와 관련되어 있었다.
58106	Lack	Carl <strong class="target-word">lacked</strong> the ability to get along well with his coworkers.	Carl은 동료들과 잘 지내는 능력이 없었다.
58108	managerial	Mike is seeking a <strong class="target-word">managerial</strong> position in the accounting field.	Mike는 회계 분야에서 관리직 자리를 찾고 있다.
58110	familiar	Staff must review the handbook to become <strong class="target-word">familiar</strong> with it.	직원들은 익숙해지도록 안내서를 복습해야 한다.
58115	apprehensive	Many people feel <strong class="target-word">apprehensive</strong> before an important job interview.	많은 사람들은 중요한 면접 전에 걱정한다.
58117	entitle	Executives are <strong class="target-word">entitled</strong> to additional benefits.	임원들에게는 추가 혜택에 대한 자격이 주어진다.
58124	attire	Professional business <strong class="target-word">attire</strong> is required of all staff giving presentations.	발표를 하는 모든 직원들은 정장을 입어야 한다.
58129	concern	The recent work hour change will not <strong class="target-word">concern</strong> the design department.	최근의 근무 시간 변경은 디자인 부서에는 영향을 미치지 않을 것이다.
58136	severely	Those who share company data with outside parties will be <strong class="target-word">severely</strong> punished.	회사 자료를 외부인과 공유하는 사람은 엄격히 처벌될 것이다.
58140	access	There is direct <strong class="target-word">access</strong> to the subway near our new office.	새 사무실 근처에 지하철로 곧장 이어지는 통로가 있다.
58141	access	Click on the link to <strong class="target-word">access</strong> the detailed job description.	상세한 직무 내용을 보시려면 링크를 클릭하세요.
58148	form	Visitors are required to present a <strong class="target-word">form</strong> of identification to security guards.	방문객들은 신분증 한 가지를 경비원에게 제시해야 한다.
58156	effect	The incentive policy will be in <strong class="target-word">effect</strong> starting next week.	상여금 규정은 다음 주부터 효력이 있을 것이다.
58157	effect	He <strong class="target-word">effected</strong> a sudden change in the company's expansion plan.	그는 회사의 확장 계획에 갑작스러운 변화를 가져왔다.
58159	according to	All transactions must be handled <strong class="target-word">according to</strong> the guidelines.	모든 거래는 지침에 따라 처리되어야 한다.
58170	authorize	Allocations of funds must be <strong class="target-word">authorized</strong> by management.	자금 할당은 경영진에 의해 인가되어야 한다.
58679	deal	The problem will be <strong class="target-word">dealt</strong> with immediately.	그 문제는 즉시 처리될 것이다.
58681	deal	The government will <strong class="target-word">deal</strong> out debt relief grants to the poor.	정부는 빈민들에게 채무 구제 보조금을 나누어 줄 것이다.
58683	argumentative	Service personnel must avoid becoming <strong class="target-word">argumentative</strong> with upset customers.	서비스 직원들은 화난 손님들과 논쟁하는 것을 피해야 한다.
58693	specific	When seeking help online, clients must be very <strong class="target-word">specific</strong> in describing problems.	고객들은 온라인으로 도움을 요청할 때, 문제를 설명하는 데 있어 아주 구체적이어야 한다.
58699	confident	The manager is <strong class="target-word">confident</strong> that Ms. Brown will be an excellent team leader.	그 관리자는 Ms. Brown이 훌륭한 팀 리더가 될 것이라고 확신한다.
58700	cause	The defect in the lamp was <strong class="target-word">caused</strong> by improper wiring.	전등의 결함은 잘못된 배선에 의해 야기되었다.
58706	certain	Sharon was not <strong class="target-word">certain</strong> where she had bought the blouse.	Sharon은 그 블라우스를 어디서 샀는지 확신하지 못했다.
58707	certain	Registrants are required to provide <strong class="target-word">certain</strong> details on the form, but other information is optional.	등록자들은 양식에 특정 정보를 기입하도록 요구되지만, 다른 정보는 선택 사항이다.
58708	international	Passengers for <strong class="target-word">international</strong> flights check in at counter three.	국제선 승객들은 3번 카운터에서 탑승 수속을 한다.
58711	exotic	Our Web site contains information on numerous <strong class="target-word">exotic</strong> vacation spots.	저희 웹사이트에는 많은 이국적 휴양지에 대한 정보가 담겨 있습니다.
58713	superb	The service at the hotel was <strong class="target-word">superb</strong>.	그 호텔의 서비스는 최고였다.
58717	locate	Airline staff have tried to <strong class="target-word">locate</strong> the lost luggage.	항공사 직원들은 잃어버린 짐을 찾으려 노력했다.
58721	duty	Security personnel are on <strong class="target-word">duty</strong> at the airport around the clock.	공항에는 보안 직원들이 24시간 내내 근무 중이다.
58732	outgoing	The <strong class="target-word">outgoing</strong> flights are listed on the monitors.	출발편 비행기들이 모니터에 기재되어 있다.
58734	tour	A guided <strong class="target-word">tour</strong> of the airport's control tower is available.	공항의 관제탑 가이드 견학이 가능하다.
58737	brochure	Information about tours can be found in the <strong class="target-word">brochure</strong>.	관광에 대한 정보는 책자에서 찾을 수 있습니다.
58738	fill out/in	Please <strong class="target-word">fill out</strong> the customs declaration form below.	아래의 세관 신고서를 작성해 주십시오.
58744	proximity	The hotel is in close <strong class="target-word">proximity</strong> to the shopping distrit.	그 호텔은 쇼핑 구역과 아주 가까운 거리에 있다.
58745	unlimited	Guests have <strong class="target-word">unlimited</strong> access to the hotel's pool and spa.	손님들은 호텔의 수영장과 스파를 무제한으로 이용할 수 있다.
58747	prior	<strong class="target-word">Prior</strong> notice is required for cancellations of hotel reservations.	호텔 예약 취소 시에는 사전 통지가 요구된다.
58749	underway	Renovations to the airport terminal are currently <strong class="target-word">underway</strong>.	공항 터미널 보수 작업이 현재 진행 중이다.
58755	pollute	Automobile exhaust <strong class="target-word">pollutes</strong> the air in large cities.	자동차 배기가스는 대도시의 공기를 오염시킨다.
58756	reduce	The local government has decided to <strong class="target-word">reduce</strong> bus fares.	지방 정부는 버스 요금을 인하하기로 결정했다.
58762	congested	The <strong class="target-word">congested</strong> roads resulted in many late arrivals.	도로의 정체로 인해 많은 지각 도착이 발생했다.
58766	benefit	Reduced air pollution will <strong class="target-word">benefit</strong> everyone.	대기 오염이 감소하면 모두에게 이로울 것이다.
58768	hazardous	It is <strong class="target-word">hazardous</strong> to drive when the roads are icy.	도로가 얼었을 때 운전하는 것은 위험하다.
58769	implement	The plan to <strong class="target-word">implement</strong> a new traffic system was approved.	새로운 교통망을 확충하려는 계획이 승인되었다.
58770	leak	They should fix the <strong class="target-word">leak</strong> in the pipe immediately.	그들은 파이프의 샘을 즉시 고쳐야 한다.
58776	rural	Lawyers are often used to settle disputes in <strong class="target-word">rural</strong> areas.	변호사들은 시골 지역의 분쟁을 해결하기 위해 자주 고용된다.
58778	suburban	The law firm is located in a <strong class="target-word">suburban</strong> area.	그 법률 회사는 교외 지역에 위치해 있다.
58781	toxic	The dispute was caused by <strong class="target-word">toxic</strong> waste disposal in the area.	분쟁은 그 지역의 독성 폐기물 처리로 인해 발생했다.
58782	urban	The <strong class="target-word">urban</strong> renewal project was included in the contract.	도시 재생 프로젝트가 계약에 포함되었다.
58798	dealer	We are the leading <strong class="target-word">dealer</strong> of consumer electronics in the country.	우리는 국내의 주요 전자 제품 판매업체이다.
58799	bulk	You will get a discount if you buy the goods in <strong class="target-word">bulk</strong>.	대량으로 물건을 구매하면 할인을 받을 것이다.
58801	short	The promotion had to be canceled because we were <strong class="target-word">short</strong> of staff.	직원이 부족했기 때문에 판촉 행사는 취소되어야만 했다.
58803	selection	The shop offers a wide <strong class="target-word">selection</strong> of designer clothing.	그 상점은 다양하게 엄선된 디자이너 의류를 제공한다.
58806	contact	The advertisement <strong class="target-word">contacted</strong> thousands of potential customers.	그 광고는 수천 명의 잠재 고객들에게 닿았다.
58814	subject	All prices are <strong class="target-word">subject</strong> to change without prior notice.	모든 가격은 사전 통보 없이 변경될 수 있다.
58818	unable	The shop was <strong class="target-word">unable</strong> to fulfill the order due to a power outage.	그 상점은 정전 때문에 주문을 처리할 수 없었다.
58821	stock	The manager decided to <strong class="target-word">stock</strong> a new range of products.	관리자는 새로운 종류의 제품을 갖추어 놓기로 결정했다.
58831	quote	price <strong class="target-word">quote</strong>	가격 견적
58832	quote	custom <strong class="target-word">quote</strong>	주문 견적
58841	shipment	The <strong class="target-word">shipment</strong> of the new cars was delayed by the storm.	신차들의 발송이 폭풍 때문에 지연되었다.
