58427	고객들은 새 태블릿 컴퓨터에 <strong class="target-word">미미한</strong> 관심만 보였다.
58428	관리부서는 회사 부지의 <strong class="target-word">외곽</strong> 지역을 꾸몄다.
58429	전화상담원은 <strong class="target-word">고객</strong>의 요구를 최우선으로 삼아야 한다.
58430	주택 수요는 집값에 직접적으로 <strong class="target-word">영향을 미친다</strong>.
58431	제품 후기는 판매에 지대한 <strong class="target-word">영향</strong>을 미친다.
58432	브랜드 로고는 <strong class="target-word">즉시</strong> 알아볼 수 있어야 한다.
58433	보몬트 씨는 <strong class="target-word">창의적인</strong> 아이디어를 냈다.
58434	최고의 영업사원들은 <strong class="target-word">적극적으로</strong> 잠재 고객을 찾아 나선다.
58435	스포트 어패럴은 10대를 <strong class="target-word">겨냥한</strong> 운동복을 개발했다.
58436	부서장은 마케팅 전략의 <strong class="target-word">목표</strong>를 설명할 것이다.
58437	경영진의 확장 <strong class="target-word">전략</strong>은 성공적이었다.
58438	연구에 따르면 소비자들은 매력적으로 포장된 제품을 선호하는 것으로 <strong class="target-word">나타난다</strong>.
58439	그 자동차 제조사는 젊은 구매자들을 <strong class="target-word">끌어들이기</strong> 위해 노력하고 있다.
58440	초대받은 손님들은 모두 매장 개점 행사에서 즐거운 <strong class="target-word">경험</strong>을 했다.
58441	고객들은 한정된 기간 동안 새 서비스를 무료로 <strong class="target-word">체험</strong>할 수 있다.
58442	연구원들은 설문 데이터를 <strong class="target-word">분석</strong>해 달라는 요청을 받았다.
58443	일렉트로라이프는 새로운 진공청소기 제품군을 <strong class="target-word">출시했다</strong>.
58444	코번 법률사무소는 지적재산권 문제에 대해 고객들에게 <strong class="target-word">자문한다</strong>.
58445	월간 패션 잡지를 <strong class="target-word">구독하는</strong> 데는 연 40달러밖에 들지 않는다.
58446	경쟁의 <strong class="target-word">부재</strong>는 제품 판매에 도움이 될 것이다.
58447	직원들은 <strong class="target-word">결근</strong>에 관한 새 정책을 엄격히 준수해야 한다.
58448	직접 설문조사는 소비자 의견을 수집하는 한 가지 <strong class="target-word">수단</strong>이다.
58449	고객들은 다른 어떤 경쟁 브랜드보다 러스터 샴푸를 <strong class="target-word">선호한다</strong>.
58450	소비자 테스트의 한 가지 <strong class="target-word">장점</strong>은 마케팅 통찰력을 얻는다는 것이다.
58451	우리 회사의 연구 프로그램은 상당히 <strong class="target-word">진전</strong>되었다.
58452	이메일을 회계 담당자에게 <strong class="target-word">전달해</strong> 주세요.
58453	광고 메시지는 <strong class="target-word">동시대의</strong> 태도를 반영하기 위해 시간에 따라 변한다.
58454	그 패션 브랜드의 <strong class="target-word">현대적인</strong> 스타일은 젊은 소비자들에게 어필한다.
58455	제품을 어떻게 홍보할지 정하기 위한 <strong class="target-word">논의</strong>가 열렸다.
58456	<strong class="target-word">초기</strong> 조사 결과에 따르면 고객들은 서비스에 만족하고 있다.
58457	론은 자신의 사업 아이디어에 대한 투자자들의 질문에 <strong class="target-word">꾸준히</strong> 답변했다.
58458	시간이 지나면서 제품 판매가 <strong class="target-word">꾸준히</strong> 증가했다.
58459	생산량 증가가 <strong class="target-word">반드시</strong> 더 큰 수익으로 이어지는 것은 아니다.
58460	새 얼굴 크림은 흔한 피부 문제의 90퍼센트를 <strong class="target-word">해결할</strong> 것을 약속한다.
58461	두 모델 사이의 실제 차이를 <strong class="target-word">알아챈</strong> 사람은 소수에 불과했다.
58462	그 영화사는 더 많은 관객을 끌어들이기 위해 홍보 활동을 <strong class="target-word">강화했다</strong>.
58463	그 제품 시연은 소비자들에게 <strong class="target-word">호의적으로</strong> 받아들여졌다.
58464	수익은 계속 <strong class="target-word">순조롭게</strong> 성장하고 있다.
58465	임대 보증금은 장비 손상 수리 비용을 <strong class="target-word">충당한다</strong>.
58466	그 회사의 예산은 1년치 마케팅 비용을 <strong class="target-word">충당하기</strong>에 충분하다.
58467	그 차는 출시 행사에서 공개되기 전 천으로 <strong class="target-word">덮여</strong> 있었다.
58468	보험사 간 <strong class="target-word">더 적은</strong> 경쟁이 보험료 인상으로 이어졌다.
58469	등록된 고객의 <strong class="target-word">대다수</strong>가 정기적으로 회비를 납부한다.
58470	특정 마케팅 전략을 <strong class="target-word">채택하기</strong> 전에 많은 조사가 이루어져야 한다.
58471	그 자선재단에 대한 대중의 반응은 <strong class="target-word">대체로</strong> 긍정적이었다.
58472	서비스 품질을 개선하려면 회사는 고객의 의견을 <strong class="target-word">무시해서는</strong> 안 된다.
58473	새 브랜드에 대한 소비자 인지도를 넓히려는 <strong class="target-word">노력</strong>으로 TV 광고가 방영되었다.
58474	쿠폰과 같은 금전적 <strong class="target-word">유인책</strong>은 구매를 촉진할 수 있다.
58475	그 회사는 미개척 시장이 <strong class="target-word">필요</strong>하다.
58476	그 차량은 매일 통근하는 사람들의 <strong class="target-word">요구</strong>를 충족하도록 설계되었다.
