58177	accustomed	All our employees are <strong class="target-word">accustomed</strong> to using the new design software.
58178	corporation	Delroy Lee heads a multinational telecommunications <strong class="target-word">corporation</strong> based in Virginia.
58179	demanding	Although Ms. Jenkins is a <strong class="target-word">demanding</strong> supervisor, she has a reputation for being fair.
58180	colleague	Regular social activities can improve cooperation among <strong class="target-word">colleagues</strong>.
58181	division	The technician will transfer to the automobile <strong class="target-word">division</strong> after training.
58182	request	Factory tours are available upon <strong class="target-word">request</strong>.
58183	request	Mike <strong class="target-word">requested</strong> a copy of the contract from the sales director.
58184	efficiently	The software helps employees work more <strong class="target-word">efficiently</strong>.
58185	manage	The boss decided Colleen could <strong class="target-word">manage</strong> the new store.
58186	manage	They <strong class="target-word">managed</strong> to do the assigned work in time.
58187	submit	Applicants should <strong class="target-word">submit</strong> a résumé to the personnel manager.
58188	directly	All regional branches report <strong class="target-word">directly</strong> to the head office in Washington.
58189	remind	Ms. Williams <strong class="target-word">reminded</strong> Mr. Johnson of his lunch meeting.
58190	instruct	The manager <strong class="target-word">instructed</strong> the staff to read the conference materials beforehand.
58191	deadline	The team worked together closely and finished the project ahead of the <strong class="target-word">deadline</strong>.
58192	sample	We need to prepare <strong class="target-word">samples</strong> of our products for the fair.
58193	sample	The customer <strong class="target-word">sampled</strong> some cake at the opening of the bakery.
58194	notify	All staff applying for leave must <strong class="target-word">notify</strong> their supervisors in writing.
58195	perform	All visitors must <strong class="target-word">perform</strong> a safety check before entering the factory.
58196	deserve	The sales team <strong class="target-word">deserves</strong> a bonus for exceeding their goals.
58197	assignment	The manager gave the team a difficult <strong class="target-word">assignment</strong>.
58198	entire	The <strong class="target-word">entire</strong> staff was present at the meeting.
58199	release	The company will <strong class="target-word">release</strong> its new product line next month.
58200	release	The press <strong class="target-word">release</strong> was sent to all major news outlets.
58201	extension	The manager granted an <strong class="target-word">extension</strong> on the project deadline.
58202	extension	If you have any questions, please call me at <strong class="target-word">extension</strong> 402.
58203	electronically	You can submit your application <strong class="target-word">electronically</strong>.
58204	attendance	<strong class="target-word">Attendance</strong> at the workshop is mandatory for all new staff.
58205	absolutely	It is <strong class="target-word">absolutely</strong> necessary to finish the report today.
58206	delegate	A good manager knows how to <strong class="target-word">delegate</strong> responsibilities.
58207	delegate	The <strong class="target-word">delegates</strong> from several countries attended the conference.
58208	attentively	The students listened <strong class="target-word">attentively</strong> to the teacher's instructions.
58209	supervision	Close <strong class="target-word">supervision</strong> ensures high quality.
58210	workshop	Mr. Kim was asked to speak at the <strong class="target-word">workshop</strong> on Friday.
58211	draw	The company's annual conference usually <strong class="target-word">draws</strong> 800 employees from around the world.
58212	revision	The team manager will make <strong class="target-word">revisions</strong> to the proposal.
58213	reluctantly	Ms. Danvers <strong class="target-word">reluctantly</strong> agreed to cut the advertising budget.
58214	acquaint	The training program <strong class="target-word">acquaints</strong> new employees with company procedures.
58215	convey	The secretary urgently <strong class="target-word">conveyed</strong> the message to the director.
58216	check	Please <strong class="target-word">check</strong> your computer regularly for disk errors.
58217	check	Click this link to <strong class="target-word">check</strong> for the latest updates.
58218	headquarters	The company <strong class="target-word">headquarters</strong> is located in London.
58219	file	Old accounting documents are <strong class="target-word">filed</strong> in the storage room.
58220	file	The department <strong class="target-word">filed</strong> an insurance claim for the water damage in the conference room.
58221	oversee	Natalie will <strong class="target-word">oversee</strong> the office relocation process.
58222	involved	Dr. Mair was deeply <strong class="target-word">involved</strong> in the decision-making process.
58223	concentrate	The sales team <strong class="target-word">concentrated</strong> on developing new strategies.
58224	lax	As of late, the staff has been rather <strong class="target-word">lax</strong> in turning in reports.
58225	procrastinate	Mr. Jones <strong class="target-word">procrastinated</strong> with his fund request and missed the deadline.
58226	combined	Retail Specialists employs professionals with a <strong class="target-word">combined</strong> experience of 30 years in sales.
58227	accomplish	Careful planning is essential for <strong class="target-word">accomplishing</strong> goals.
58228	voluntarily	He <strong class="target-word">voluntarily</strong> took on the challenging assignment in order to gain experience.
58229	undertake	She had to <strong class="target-word">undertake</strong> the task on short notice.
58230	assume	The management <strong class="target-word">assumes</strong> employees are satisfied.
58231	assume	The marketing department will <strong class="target-word">assume</strong> responsibility for the project.
58232	occasionally	Staff should <strong class="target-word">occasionally</strong> take time to relax so they do not get tired.
58233	employee	There are only three <strong class="target-word">employees</strong> working under Ms. Anderson.
58234	assist	A staff member <strong class="target-word">assisted</strong> with preparations for the conference.
58235	satisfied	Not everyone was <strong class="target-word">satisfied</strong> with changes to the overtime policy.
58236	manner	Sean was annoyed by the <strong class="target-word">manner</strong> in which his boss gave him orders.
58237	responsible	Businesses are <strong class="target-word">responsible</strong> for ensuring customer satisfaction.
58238	conduct	IJMR Ltd.'s technology department will <strong class="target-word">conduct</strong> the research study.
58239	adjust	The employees quickly <strong class="target-word">adjusted</strong> to the new e-mail system.
58240	personnel	We often use an agency to find reliable temporary <strong class="target-word">personnel</strong>.
58241	agree	The team <strong class="target-word">agreed</strong> on the recommendations of the advisor.
58242	supervise	Ms. Wilson <strong class="target-word">supervises</strong> the employees in sector B.
58243	co-worker	<strong class="target-word">Coworkers</strong> who live near each other often travel to work together.
58244	direct	The receptionist <strong class="target-word">directs</strong> new employees to the auditorium where orientation will be held.
58245	confidential	Internal documents must be kept <strong class="target-word">confidential</strong>.
58246	assign	The office manager <strong class="target-word">assigned</strong> desks to the new recruits.
58247	leading	Shepherd Inc. is a <strong class="target-word">leading</strong> exporter in the wood furniture industry.
58248	formal	The awards ceremony requires wearing <strong class="target-word">formal</strong> business attire.
58249	remove	The vice president was <strong class="target-word">removed</strong> from his position because of a scandal.
58250	collect	The author <strong class="target-word">collected</strong> management ideas from around the world for his book.
58251	coordinate	The Chicago office <strong class="target-word">coordinated</strong> the planning process.
58252	hardly	She was <strong class="target-word">hardly</strong> ever late for her shift.
58253	abstract	Copland spent thousands of dollars on an <strong class="target-word">abstract</strong> painting for the lobby.
58254	abstract	Ideals such as loyalty may seem <strong class="target-word">abstract</strong>, so employees need specific examples.
58255	directory	The company <strong class="target-word">directory</strong> shows where the marketing department is.
58256	accountable	All employees are <strong class="target-word">accountable</strong> for the duties they have been assigned to complete.
58257	skillfully	Brenda <strong class="target-word">skillfully</strong> edited the report to fit on one page.
58258	exclusive	Delegates with special passes have <strong class="target-word">exclusive</strong> access to a tour of the facilities.
58259	intention	She had every <strong class="target-word">intention</strong> of attending the conference, but could not.
58260	transform	Computerization has <strong class="target-word">transformed</strong> the way companies do business.
58261	respectful	Sales clerks are reminded to be <strong class="target-word">respectful</strong> to all clients.
58262	duplicate	A <strong class="target-word">duplicate</strong> of each contract is kept in the company records.
58263	contrary	TechWorld is in financial trouble, despite claims to the <strong class="target-word">contrary</strong>.
58264	disturbing	Shareholders found reports of the CEO's incompetence <strong class="target-word">disturbing</strong>.
58265	engage	Each worker was <strong class="target-word">engaged</strong> in at least two projects.
58266	foster	Staff dinners helped <strong class="target-word">foster</strong> better work relations.
58267	neutrality	Managers must display complete <strong class="target-word">neutrality</strong> in disagreements between employees.
58268	widely	Ben Hurley is a <strong class="target-word">widely</strong> admired business leader.
58269	externally	Most of the company's marketing is handled <strong class="target-word">externally</strong> through contractors.
58270	sophisticated	A <strong class="target-word">sophisticated</strong> surveillance system was installed.
58271	sophisticated	The decorator exhibited a <strong class="target-word">sophisticated</strong> taste in art.
58272	timely	The report was completed in a <strong class="target-word">timely</strong> manner.
58273	realistically	We cannot <strong class="target-word">realistically</strong> expect to have the presentation ready on time.
58274	promptly	It is company policy to respond <strong class="target-word">promptly</strong> to all inquiries.
58275	promptly	The train will leave <strong class="target-word">promptly</strong> at 4 P.M.
58276	accessible	The 18th floor is only <strong class="target-word">accessible</strong> to executive staff.
58277	accessible	Please make the manual <strong class="target-word">accessible</strong> to all employees.
58278	implement	Board members voted to <strong class="target-word">implement</strong> an innovative marketing campaign.
58279	feedback	<strong class="target-word">Feedback</strong> from colleagues can be of great assistance.
58280	outstanding	The director presented an <strong class="target-word">outstanding</strong> business plan.
58281	outstanding	By clearing its <strong class="target-word">outstanding</strong> debt, Cottonvale was able to finance new product development.
58282	inform	Please <strong class="target-word">inform</strong> the director that the meeting has been canceled.
58283	replacement	We need a <strong class="target-word">replacement</strong> for this broken laptop.
58284	replacement	Human resources is looking for a <strong class="target-word">replacement</strong> for Mr. Winters.
58285	announcement	Mr. Dane posted an <strong class="target-word">announcement</strong> about the general meeting.
58286	department	Report payroll problems to the finance <strong class="target-word">department</strong>.
58287	permanently	The computer files have been <strong class="target-word">permanently</strong> deleted and cannot be retrieved.
58288	fulfill	The final product design <strong class="target-word">fulfilled</strong> the terms of the contract.
58289	outline	Begin making the report by arranging the main ideas in an <strong class="target-word">outline</strong>.
58290	outline	The salesman <strong class="target-word">outlined</strong> the features of the vacuum cleaner.
58291	explain	The manager <strong class="target-word">explained</strong> the new regulations to everyone in the department.
58292	contain	The filing cabinet <strong class="target-word">contains</strong> copies of all our invoices.
58293	compile	The assistant <strong class="target-word">compiled</strong> a list of tablet computer manufacturers.
58294	compile	Ms. Atkins will <strong class="target-word">compile</strong> all year-end reports and submit them to Ms. Woo.
58295	subsequent	Some employees received separation pay <strong class="target-word">subsequent</strong> to the company's closing.
58296	overview	Scott gave an <strong class="target-word">overview</strong> of the topic before the presentation.
58297	provider	There are numerous Internet and cable <strong class="target-word">providers</strong> in the city.
58298	matter	Please deal with personal <strong class="target-word">matters</strong> outside the office.
58299	expertise	This kind of project falls outside the firm's area of <strong class="target-word">expertise</strong>.
58300	demonstrate	Sales figures <strong class="target-word">demonstrate</strong> that the advertising campaign was successful.
58301	demonstrate	Our representative will <strong class="target-word">demonstrate</strong> how to use the instrument.
58302	remainder	Audits will continue throughout the <strong class="target-word">remainder</strong> of the month.
58303	essential	Perseverance is <strong class="target-word">essential</strong> to success in business.
58304	divide	Required overtime will be <strong class="target-word">divided</strong> equally among employees.
58305	major	A <strong class="target-word">major</strong> figure in publishing, Ms. Yarrow is highly influential.
58306	major	The new manager has had a <strong class="target-word">major</strong> impact on productivity.
58307	compliance	Government officials will inspect the plant's <strong class="target-word">compliance</strong> with safety guidelines.
58308	clarify	The notice <strong class="target-word">clarified</strong> some details of the vacation policy modifications.
58309	face	Businesses are <strong class="target-word">faced</strong> with the challenge of foreign competition.
58310	face	The elevator <strong class="target-word">faces</strong> the lobby of the building.
58311	follow	The guests <strong class="target-word">followed</strong> the guide into the exhibition hall.
58312	follow	Bill <strong class="target-word">followed</strong> the conversations at the meeting closely.
58313	follow	The manager realized the staff was not <strong class="target-word">following</strong> his talk.
58314	aspect	Every <strong class="target-word">aspect</strong> of the problem must be taken into consideration.
58315	apparently	<strong class="target-word">Apparently</strong>, Mr. Jones was not invited to this meeting.
58316	aware	Workers should be made <strong class="target-word">aware</strong> of safety procedures.
